run,seed,bf_train_rmse,bf_val_rmse,bf_test_rmse,bf_nodes,bf_depth,bn_train_rmse,bn_val_rmse,bn_test_rmse,bn_nodes,bn_depth,sm_train_rmse,sm_val_rmse,sm_test_rmse,sm_nodes,sm_depth
1,43,56.81401,72.43040,51.96993,35,15,57.06614,72.47961,52.19376,31,14,57.59299,72.57489,52.66621,23,12
2,44,54.94797,60.87310,54.39713,37,15,55.87722,61.35036,55.45835,29,13,57.02741,61.97208,56.75991,21,11
3,45,52.66853,53.42654,55.38530,39,15,53.09667,53.86118,55.80937,33,14,54.31923,55.06742,57.04390,25,12
4,46,43.94495,41.22122,41.42859,37,15,44.18190,41.57504,41.70716,33,14,44.93077,42.65315,42.59512,25,12
5,47,41.24730,45.81117,42.25101,39,15,41.61413,45.92873,42.42122,31,13,41.89566,46.13312,42.74916,27,12
6,48,49.70009,53.36492,52.06281,45,15,50.52967,54.28625,52.91151,37,13,51.26060,55.08559,53.65312,33,12
7,49,46.84737,44.90456,46.16775,67,15,47.72733,45.70959,47.03936,59,13,48.30285,46.23745,47.61393,55,12
8,50,43.32461,43.78945,44.24297,35,15,43.59148,44.05569,44.51527,31,14,44.43536,44.90951,45.40160,25,12
9,51,43.58636,42.81379,44.34897,39,15,44.22785,43.45263,45.17261,31,13,44.65684,43.87766,45.71344,27,12
10,52,45.86089,40.90857,44.90619,35,15,46.25497,41.28568,45.31313,31,14,46.61038,41.63542,45.67850,27,13
11,53,49.70510,50.26545,47.29116,37,15,50.65796,51.11983,48.19173,29,13,51.44898,51.83105,48.93534,25,12
12,54,49.95074,47.94376,47.91846,35,15,50.39204,48.36936,48.37737,31,14,51.56033,49.50227,49.59615,25,12
13,55,56.39289,56.21754,58.39652,37,15,57.48518,57.31452,59.54209,31,13,58.57356,58.41389,60.74619,23,11
14,56,43.92297,40.25517,38.84763,39,15,44.23561,40.51711,39.11323,29,13,44.37752,40.64967,39.25403,27,12
15,57,47.53696,50.64104,47.20074,97,15,48.22308,51.32822,47.82280,91,14,48.97997,52.06034,48.51913,85,12
16,58,44.78262,42.35304,43.48574,35,15,45.46510,42.95877,44.15797,27,13,46.36446,43.85560,45.02978,21,11
17,59,54.00861,55.22825,50.55456,99,15,54.48690,55.72559,51.02813,93,14,55.91745,57.21783,52.41180,81,11
18,60,50.42448,53.18642,50.58825,47,15,50.89988,53.68751,51.06337,39,14,51.96729,54.76057,52.08999,31,12
19,61,47.67798,43.68671,47.83195,47,15,48.49349,44.45294,48.73014,39,13,48.49349,44.45294,48.73014,39,13
20,62,53.08054,45.56743,53.84188,43,15,53.38541,45.85714,54.17001,37,14,54.69352,47.00417,55.42596,29,12
21,63,53.10358,49.87477,46.32478,65,15,53.81575,50.45425,46.91240,57,13,54.47694,51.00184,47.45614,55,12
22,64,44.11256,44.99263,41.76756,37,15,44.53993,45.46350,42.15369,31,14,45.25414,46.24266,42.80753,27,12
23,65,47.10101,44.06977,44.90380,35,15,48.01121,44.97295,45.92604,27,13,48.85837,45.81306,46.87178,23,12
24,66,53.47229,53.78292,49.52273,37,15,53.90273,54.15194,49.92143,33,14,54.73523,55.00814,50.70759,25,12
25,67,45.63048,45.24198,45.36971,51,15,46.42205,46.06760,46.18331,43,13,47.35518,47.01937,47.13541,35,11
26,68,41.26306,42.25841,46.54508,39,15,41.41774,42.46731,46.69147,35,14,41.92355,43.13505,47.18283,27,12
27,69,45.20607,44.86592,40.86422,53,15,45.33438,45.06722,41.22462,45,13,45.50042,45.26782,41.47815,39,12
28,70,54.69291,57.60775,57.71696,65,15,55.77136,58.69765,58.84714,57,13,56.47258,59.40332,59.57849,53,12
29,71,53.85702,52.78043,53.96809,33,15,54.60543,53.51507,54.65091,27,13,55.97979,54.83476,55.92233,19,11
30,72,56.34166,52.84104,61.37917,31,15,56.73578,53.31272,61.83002,27,14,57.86835,54.58395,63.15085,25,12
